activity_code,exercise_name,mets,source,source_url
01236,自転車をこぐ：自転車エルゴメータ、200-229ワット、きつい労力,10.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01240,自転車をこぐ：自転車エルゴメータ、230-250ワット、非常にきつい労力,12.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01244,自転車をこぐ：自転車エルゴメータ、270-305ワット、非常にきつい労力,13.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01248,自転車をこぐ：自転車エルゴメータ、325ワットより高い、非常にきつい労力,16.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01252,自転車をこぐ：短縮性収縮のみ、100ワット,5.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01254,自転車をこぐ：短縮性収縮のみ、200ワット,11.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01262,自転車をこぐ：伸張性収縮のみ、100-149ワット,2.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01264,自転車をこぐ：伸張性収縮のみ、200ワット,4.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01270,自転車をこぐ：自転車エルゴメータ、RPM/スピンバイククラス,9.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01290,自転車をこぐ：バーチャルサイクリング、屋内自転車エルゴメータ,8.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01305,自転車をこぐ：高強度インターバルトレーニング,8.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02000,有酸素運動：全般,7.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02001,有酸素運動：ステップ運動、10センチの高さ,5.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02002,有酸素運動：ステップ運動、15-20センチの高さ,7.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02003,有酸素運動：ステップ運動、25-30センチの高さ,9.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02004,ベンチステップ教室：全般,7.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02005,エアロビックダンス：弱い衝撃、ほどほどの労力,4.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02006,エアロビックダンス：強い衝撃、きつい労力,8.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02007,エアロビックダンス：4.5-6.8kgの重りを身に着けて,10.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02008,軍人用障害物エクササイズ、ブートキャンプトレーニングプログラム,5.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02020,健康体操(例：腕立て伏せ、腹筋運動、懸垂、ジャンピングジャック(ジャンプしながら手足を開閉、バーピー、バ トルロープ)：きつい労力,7.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02022,健康体操(例：腕立て伏せ、腹筋運動、懸垂、ランジ)：ほどほどの労力,3.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02024,健康体操(例：カールアップ、アブドミナルクランチ、プランク)：楽な労力,2.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02030,健康体操：楽からほどほどの労力、全般(例：背筋を使用した運動)、階段の上り下り,3.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
